id,starting_street,end_street,total_distance,total_travel_time,number_of_steps,street_for_each_step,distance_per_step,travel_time_per_step,step_maneuvers,step_direction,step_location_list
id2008587,East 59th Street,Amsterdam Avenue,5828.8,484.2,12,East 59th Street|Madison Avenue|East 66th Street|65th Street Transverse|West 66th Street|Broadway|Amsterdam Avenue|West 73rd Street|Broadway|West 106th Street|Amsterdam Avenue|Amsterdam Avenue,24.7|555.3|155.2|888.3|326.4|492.5|128.5|50.5|2714.2|200.6|292.6|0,9.1|55.7|12.2|60.3|25.8|35.3|16.4|5.5|221.1|20.6|22.2|0,depart|turn|turn|new name|new name|turn|turn|turn|turn|turn|turn|arrive,none|left|left|straight|straight|right|slight right|left|right|right|left|arrive,"-73.97166,40.763707|-73.971404,40.763598|-73.968215,40.767967|-73.969825,40.768646|-73.978728,40.772417|-73.982122,40.773833|-73.981898,40.778256|-73.981152,40.779264|-73.981668,40.779495|-73.967789,40.801305|-73.965705,40.800431|-73.964036,40.802738"
id0896744,East 21st Street,10th Avenue,2800.8,319.5,5,East 21st Street|6th Avenue|West 37th Street|10th Avenue|10th Avenue,407.3|1280.8|1095.6|17.2|0,53.6|180.5|83.5|1.9|0,depart|turn|turn|turn|arrive,none|right|left|right|arrive,"-73.989525,40.739825|-73.993739,40.741617|-73.986399,40.7517|-73.997761,40.756488|-73.997662,40.756623"
id3160411,West 45th Street,5th Avenue,3816.7,366.2,7,West 45th Street|6th Avenue|West 54th Street|Madison Avenue|East 83rd Street|5th Avenue|5th Avenue,99.1|715.1|465.8|2356.6|154.5|25.5|0,10.7|66.8|39.8|217.6|29.7|1.6|0,depart|turn|turn|turn|turn|turn|arrive,left|right|right|left|left|left|arrive,"-73.981685,40.756337|-73.982712,40.756771|-73.978601,40.762396|-73.973766,40.760364|-73.960236,40.778908|-73.961839,40.779584|-73.961985,40.779383"
id3844568,East 125th Street,Broadway,3326.4,241.4,7,East 125th Street|Adam Clayton Powell Jr. Boulevard|Central Park North|West 110th Street|Cathedral Parkway|Broadway|Broadway,928.6|1211.7|238.6|195.4|692|60|0,68.7|71|18.4|21.6|58.5|3.2|0,depart|turn|end of road|rotary|new name|turn|arrive,left|left|right|right|straight|left|arrive,"-73.938764,40.804945|-73.948402,40.809005|-73.955389,40.799481|-73.957868,40.800521|-73.959636,40.801152|-73.966794,40.804209|-73.967146,40.80374"
id3045578,Bowery,6th Avenue,7925.9,750.9,11,Bowery|East 4th Street|2nd Avenue|Chrystie Street|Delancey Street|Kenmare Street|Bowery|Manhattan Bridge|Flatbush Avenue|6th Avenue|6th Avenue,24.9|197.6|306|437.7|102.6|12.3|488.4|2311.3|2089.7|1955.5|0,8.5|26.1|42.3|59|13.4|5.9|64.5|179.3|148.4|203.5|0,depart|turn|turn|new name|turn|turn|turn|turn|new name|turn|arrive,none|right|right|straight|right|slight right|left|slight left|straight|right|arrive,"-73.99155,40.726843|-73.991472,40.727059|-73.989429,40.726188|-73.991006,40.723738|-73.992837,40.720056|-73.993982,40.720305|-73.994117,40.720346|-73.996079,40.716244|-73.985191,40.69722|-73.974692,40.680266|-73.986385,40.665105"
id2457331,West Street,Laight Street,1644.3,204.2,8,West Street|Harrison Street|Hudson Street|Ericsson PI|Beach Street|Saint John's Lane|Laight Street|Laight Street,732.6|299|224.9|135|79|154.5|19.4|0,70.6|38.9|35.7|19.5|16.3|19.1|4.1|0,depart|turn|end of road|turn|on ramp|turn|end of road|arrive,none|right|left|right|straight|left|right|arrive,"-74.014071,40.712602|-74.012325,40.719048|-74.008819,40.718642|-74.008466,40.720646|-74.006894,40.720475|-74.005966,40.720378|-74.005718,40.721754|-74.00549,40.721734"
id3587230,5th Avenue,7th Avenue,1871.2,180.2,4,5th Avenue|West 37th Street|7th Avenue|7th Avenue,1014.8|584.5|271.9|0,94.3|49.5|36.4|0,depart|turn|turn|arrive,right|right|left|arrive,"-73.977355,40.758327|-73.98318,40.750341|-73.989243,40.752895|-73.990797,40.750753"
id1733677,Lexington Avenue,6th Avenue,1031.0,125.6,6,Lexington Avenue|East 37th Street|5th Avenue|West 35th Street|6th Avenue|6th Avenue,44.7|466.8|157.1|309.9|52.5|0,7.1|43.9|20|48.7|5.9|0,depart|turn|turn|turn|turn|arrive,none|right|left|right|right|arrive,"-73.978088,40.748646|-73.978344,40.748294|-73.98318,40.750341|-73.984076,40.749102|-73.987289,40.750458|-73.986985,40.75087"
id0228697,West 80th Street,9th Avenue,2273.9,187.9,5,West 80th Street|Broadway|Columbus Avenue|9th Avenue|9th Avenue,87.4|1367.8|431.4|387.3|0,16.7|108|33.9|29.3|0,depart|turn|turn|new name|arrive,left|right|slight right|straight|arrive,"-73.98049,40.784951|-73.979583,40.784569|-73.982295,40.772633|-73.984777,40.769241|-73.986983,40.766186"
id1265705,9th Avenue,Mott Street,3039.3,413.7,7,9th Avenue|Hudson Street|Hudson Street|Bleecker Street|Bleecker Street|Mott Street|Mott Street,608|203.1|207.5|397.7|1340.1|283|0,84|26.7|29.2|64.4|173.8|35.6|0,depart|new name|fork|turn|fork|turn|arrive,right|straight|slight right|left|slight left|right|arrive,"-74.001951,40.745726|-74.005127,40.740851|-74.005469,40.739046|-74.005772,40.737195|-74.004475,40.733798|-73.993755,40.72565|-73.994825,40.723238"
id1174580,Broadway,East 70th Street,3646.3,361.3,8,Broadway|West 86th Street|86th Street Transverse Road|5th Avenue|East 72nd Street|Lexington Avenue|East 70th Street|East 70th Street,286.5|699.5|921.5|986.4|465.5|165.2|121.7|0,29.7|53.8|105.7|93.9|40.5|20.2|17.5|0,depart|turn|new name|turn|turn|turn|turn|arrive,none|left|straight|right|left|right|left|arrive,"-73.974892,40.790584|-73.976607,40.788361|-73.969349,40.785303|-73.961375,40.780223|-73.967039,40.772461|-73.962211,40.770425|-73.963154,40.769123|-73.961889,40.768594"
id1282933,West 116th Street,East 116th Street,1269.8,179.4,2,West 116th Street|East 116th Street,1269.8|0,179.4|0,depart|arrive,right|arrive,"-73.946549,40.800702|-73.93339,40.795126"
id2929661,5th Avenue,Bedford Street,6956.3,805.3,8,5th Avenue|West 9th Street|Christopher Street|Grove Street|7th Avenue South|Leroy Street|Bedford Street|Bedford Street,5873.2|299|187.8|170.2|350.9|35.3|39.7|0,654.5|33.4|25|23.6|52.8|9.4|6.6|0,depart|turn|new name|fork|turn|turn|turn|arrive,none|right|straight|slight left|left|sharp left|left|arrive,"-73.962205,40.779082|-73.995904,40.732859|-73.999014,40.734147|-74.001205,40.733843|-74.00305,40.733221|-74.004688,40.730321|-74.004303,40.730447|-74.004492,40.730774"
id3237554,East 61st Street,Madison Avenue,585.0,62.1,3,East 61st Street|Madison Avenue|Madison Avenue,123.6|461.4|0,22|40.1|0,depart|turn|arrive,none|right|arrive,"-73.969212,40.764305|-73.970497,40.764842|-73.967849,40.768473"
id1970095,Centre Street,West 40th Street,4946.3,638.1,11,Centre Street|Cleveland Place|Lafayette Street|4th Avenue|Union Square East|Park Avenue South|Park Avenue|East 37th Street|6th Avenue|West 40th Street|West 40th Street,431.6|170.6|1129|388.6|251.9|1253.4|326.7|630.1|236.4|128.1|0,58.4|23.1|144.5|53.5|34.2|170.3|49.8|51.2|34.6|18.5|0,depart|new name|new name|new name|new name|new name|fork|turn|turn|turn|arrive,none|straight|slight right|straight|straight|straight|slight right|left|right|right|arrive,"-74.000342,40.717533|-73.997655,40.720836|-73.997128,40.722304|-73.99041,40.731002|-73.989898,40.734456|-73.988932,40.736522|-73.981781,40.746402|-73.979861,40.74895|-73.986399,40.7517|-73.98504,40.753559|-73.983715,40.752995"
id2071023,6th Avenue,7th Avenue,1363.0,159.4,4,6th Avenue|West 45th Street|7th Avenue|7th Avenue,1020|272.2|70.8|0,126.5|25|7.9|0,depart|turn|turn|arrive,left|left|left|arrive,"-73.98854,40.748734|-73.982712,40.756771|-73.985534,40.757963|-73.985957,40.757413"
id3626138,East 76th Street,West 51st Street,3726.5,331.3,6,East 76th Street|2nd Avenue|East 53rd Street|7th Avenue|West 51st Street|West 51st Street,175.5|1859.4|1420.9|158.3|112.4|0,29.3|153.1|114.4|16.4|18.1|0,depart|turn|turn|turn|turn|arrive,none|right|right|left|right|arrive,"-73.958294,40.772163|-73.956473,40.771396|-73.967152,40.756766|-73.981898,40.762965|-73.982807,40.761719|-73.983973,40.76221"
id0248971,East 87th Street,East 78th Street,1516.1,156.7,6,East 87th Street|2nd Avenue|East 79th Street|Park Avenue|East 78th Street|East 78th Street,220|662.1|536.7|87.7|9.5|0,39.1|54.8|48.5|13|1.3|0,depart|turn|turn|turn|turn|arrive,left|left|right|left|left|arrive,"-73.948966,40.777588|-73.951248,40.778551|-73.955044,40.773338|-73.960619,40.775675|-73.961122,40.774985|-73.961024,40.774943"
id1254731,7th Avenue,8th Avenue,1424.0,178.2,4,7th Avenue|West 31st Street|8th Avenue|8th Avenue,136.6|273.6|1013.9|0,21.4|32.6|124.2|0,depart|turn|turn|arrive,left|right|right|arrive,"-73.99122,40.750175|-73.992006,40.749101|-73.994845,40.750294|-73.989029,40.758274"
id2396251,West 30th Street,West 56th Street,3402.8,382.5,6,West 30th Street|6th Avenue|Central Park South|7th Avenue|West 56th Street|West 56th Street,328.7|2336.6|275.3|257.6|204.5|0,46.1|253.2|25.6|28.2|29.4|0,depart|turn|turn|turn|turn|arrive,right|left|left|left|left|arrive,"-73.993029,40.74871|-73.989617,40.747277|-73.976221,40.765671|-73.979076,40.766876|-73.980531,40.764839|-73.978406,40.76395"
id2760677,West End Avenue,Broadway,2357.7,197.1,4,West End Avenue|West 96th Street|Broadway|Broadway,185|124.1|2048.6|0,23.3|12.3|161.5|0,depart|turn|turn|arrive,none|left|right|arrive,"-73.972149,40.796711|-73.973207,40.795253|-73.971919,40.79471|-73.982176,40.778195"
id3781978,West End Avenue,Central Park West,3263.4,277.1,6,West End Avenue|West 96th Street|Broadway|West 72nd Street|Central Park West|Central Park West,421.8|124.1|1981.1|592.2|144.2|0,44.8|12.3|161.6|46.9|11.5|0,depart|turn|turn|turn|turn|arrive,left|left|right|left|right|arrive,"-73.970796,40.798577|-73.973207,40.795253|-73.971919,40.79471|-73.982107,40.778799|-73.975959,40.776217|-73.976786,40.775082"
id2295970,West 57th Street,West 77th Street,2237.5,253.9,5,West 57th Street|8th Avenue|Central Park West|West 77th Street|West 77th Street,99.6|135.6|1520|482.2|0,18.7|14.3|149.4|71.5|0,depart|turn|rotary|turn|arrive,left|left|right|left|arrive,"-73.983911,40.767152|-73.982878,40.766716|-73.981997,40.767688|-73.973571,40.779478|-73.978592,40.781545"
id1620603,West Broadway,Grand Street,1986.5,283.0,8,West Broadway|Duane Street|Church Street|Church Street|Walker Street|Mulberry Street|Grand Street|Grand Street,17.6|125.3|251.8|200|556.1|268.3|567.4|0,9.3|21.4|34.2|28.4|74|36.5|79.2|0,depart|turn|turn|continue|turn|turn|turn|arrive,none|left|left|slight right|right|left|right|arrive,"-74.008271,40.716723|-74.008378,40.716587|-74.007107,40.716003|-74.005587,40.717952|-74.00437,40.719484|-73.998586,40.717119|-73.997303,40.719324|-73.991114,40.717324"
id0319028,5th Avenue,West 15th Street,3619.4,422.2,3,5th Avenue|West 15th Street|West 15th Street,3089.5|529.8|0,361|61.2|0,depart|turn|arrive,none|right|arrive,"-73.975397,40.761007|-73.99312,40.736691|-73.998616,40.739004"
id1591054,7th Avenue,East 3rd Street,2471.0,335.3,10,7th Avenue|West 4th Street|West 4th Street|Washington Square South|West 4th Street|Bowery|East 2nd Street|1st Avenue|East 3rd Street|East 3rd Street,397|34.4|367.5|304.2|499.4|166.3|401.4|81.5|219.2|0,57.6|5.8|45.2|38.1|62.8|26.4|58.5|16.4|24.5|0,depart|turn|continue|new name|turn|turn|turn|turn|turn|arrive,right|left|straight|straight|straight|right|left|left|left|arrive,"-74.000872,40.736878|-74.002807,40.733625|-74.002572,40.733372|-73.999604,40.731043|-73.996569,40.729563|-73.991603,40.727114|-73.992142,40.725676|-73.987968,40.723942|-73.987502,40.724584|-73.989775,40.725542"
id1685320,West 106th Street,West 31st Street,6843.5,577.6,7,West 106th Street|Columbus Avenue|9th Avenue|West 36th Street|7th Avenue|West 31st Street|West 31st Street,66.2|3812.5|1849.4|545|404.8|165.6|0,11.7|297.2|153.1|41.7|55.4|18.5|0,depart|turn|new name|turn|turn|turn|arrive,right|left|straight|left|right|right|arrive,"-73.96219,40.798947|-73.962876,40.799237|-73.984777,40.769241|-73.995343,40.754667|-73.989688,40.752289|-73.992006,40.749101|-73.993725,40.749823"
id1407515,1st Avenue,West 45th Street,3179.0,322.2,5,1st Avenue|1st Avenue|1st Avenue|East 45th Street|West 45th Street,1716.1|16.8|358.6|1087.5|0,205.1|0.9|33.1|83.1|0,depart|fork|fork|turn|arrive,none|slight left|slight left|left|arrive,"-73.98038,40.734325|-73.970566,40.747842|-73.970515,40.747988|-73.968394,40.750747|-73.979681,40.755489"
id1719187,West 21st Street,East 26th Street,1133.2,153.0,4,West 21st Street|6th Avenue|West 26th Street|East 26th Street,76.4|405.3|651.5|0,12.6|57.4|83|0,depart|turn|turn|arrive,right|right|right|arrive,"-73.992949,40.74128|-73.993739,40.741617|-73.991415,40.744807|-73.984663,40.741954"
id1094696,East 24th Street,East 82nd Street,5087.7,519.0,5,East 24th Street|Park Avenue South|Park Avenue Tunnel|East 82nd Street|East 82nd Street,94.6|707.8|4026.1|259.3|0,20.1|95.3|364.4|39.2|0,depart|turn|fork|turn|arrive,left|left|slight left|right|arrive,"-73.986781,40.741228|-73.9858,40.740815|-73.981781,40.746402|-73.95895,40.777533|-73.95626,40.7764"
id0317759,Lafayette Street,West 13th Street,2268.4,316.2,10,Lafayette Street|Great Jones Street|West 3rd Street|6th Avenue|Greenwich Avenue|Jane Street|8th Avenue|West 4th Street|West 13th Street|West 13th Street,247.2|111.4|667|330|540.9|177.4|37.4|114.3|42.6|0,36.7|14.5|88.3|45.3|72.6|35.3|4.5|14.3|4.7|0,depart|turn|new name|end of road|turn|turn|turn|turn|turn|arrive,none|left|straight|right|left|left|sharp right|slight left|slight left|arrive,"-73.99511,40.725366|-73.99364,40.727289|-73.994759,40.727822|-74.001413,40.731065|-73.999523,40.733663|-74.002033,40.73813|-74.004138,40.738129|-74.003858,40.73839|-74.003865,40.739418|-74.004306,40.739606"
id3048787,West End Ave.,East 58th Street,3596.1,332.8,8,West End Ave.|West 79th Street|Broadway|Central Park South|East 59th Street|Lexington Avenue|East 58th Street|East 58th Street,198.6|104.6|1762.2|948.5|466.3|78.1|37.6|0,24.3|10.8|157.4|81.8|40.7|12.5|5.3|0,depart|turn|turn|rotary|new name|turn|turn|arrive,none|left|right|slight right|straight|right|left|arrive,"-73.980036,40.785916|-73.98117,40.78435|-73.980084,40.783893|-73.982226,40.768317|-73.973015,40.764279|-73.968181,40.762236|-73.96864,40.761626|-73.96825,40.761461"
id0217225,10th Avenue,Canal Street,3856.2,455.2,9,10th Avenue|West 18th Street|9th Avenue|Hudson Street|Gansevoort Street|10th Avenue|West Street|Canal Street|Canal Street,11.7|269.8|322.5|161.9|355.9|109.2|1484.8|1140.5|0,5.4|34.1|44.1|23.5|44.3|16.5|139.7|147.6|0,depart|turn|turn|new name|turn|end of road|merge|turn|arrive,right|right|right|straight|right|left|slight right|left|arrive,"-74.006452,40.744554|-74.006385,40.744646|-74.003581,40.743476|-74.005127,40.740851|-74.005407,40.739413|-74.009624,40.739354|-74.010119,40.738517|-74.011285,40.72521|-74.001025,40.718783"
id1036513,West 55th Street,East 46th Street,1466.3,137.7,6,West 55th Street|6th Avenue|West 57th Street|5th Avenue|East 46th Street|East 46th Street,45|165.1|311|881.2|64|0,10.5|16.9|21.2|84.9|4.2|0,depart|turn|turn|turn|turn|arrive,right|right|right|right|left|arrive,"-73.977673,40.762826|-73.97814,40.763023|-73.977196,40.764324|-73.973968,40.762967|-73.979024,40.756032|-73.978361,40.755752"
id1512982,3rd Avenue,Vesey Street,8822.6,800.7,7,3rd Avenue|East 49th Street|12th Avenue|11th Avenue|West Street|Vesey Street|Vesey Street,110.2|2521.5|2285.8|628.7|3229.4|47|0,15.5|198.3|221.1|62.3|297.9|5.6|0,depart|turn|end of road|new name|new name|turn|arrive,left|left|left|straight|straight|right|arrive,"-73.971825,40.754318|-73.971194,40.755186|-73.997348,40.766208|-74.007832,40.74806|-74.008871,40.742463|-74.013934,40.713801|-74.014424,40.714001"
id1584626,West 52nd Street,East 54th Street,1244.0,117.2,4,West 52nd Street|6th Avenue|West 54th Street|East 54th Street,266.2|159.4|818.4|0,37.2|16.5|63.5|0,depart|turn|turn|arrive,none|left|right|arrive,"-73.982281,40.762302|-73.979517,40.761142|-73.978601,40.762396|-73.970108,40.758824"
id1393443,East 53rd Street,Lexington Avenue,2208.0,239.0,3,East 53rd Street|Lexington Avenue|Lexington Avenue,95.6|2112.5|0,13.7|225.3|0,depart|turn|arrive,right|left|arrive,"-73.970001,40.757957|-73.970992,40.758375|-73.983113,40.74175"
id3666962,Lexington Avenue,East 65th Street,1894.8,171.7,3,Lexington Avenue|East 65th Street|East 65th Street,1610.6|284.2|0,151.2|20.5|0,depart|turn|arrive,none|left|arrive,"-73.956196,40.778658|-73.965445,40.765984|-73.962498,40.764741"
id0087608,2nd Avenue,Broadway,4149.5,548.1,5,2nd Avenue|East 9th Street|Wanamaker Place|Broadway|Broadway,2048|314.2|137.4|1649.8|0,270.7|39.1|24.3|214|0,depart|turn|new name|turn|arrive,none|right|straight|left|arrive,"-73.975491,40.74531|-73.987239,40.729192|-73.990503,40.730557|-73.991921,40.731166|-74.002491,40.718683"
id0182448,4th Avenue,West 49th Street,3676.5,396.8,6,4th Avenue|Union Square East|Park Avenue South|Park Avenue Tunnel|East 49th Street|West 49th Street,39|251.9|1253.4|1353.4|778.8|0,6.4|34.2|170.4|126.9|58.9|0,depart|new name|new name|fork|turn|arrive,left|straight|straight|slight left|left|arrive,"-73.98984,40.734108|-73.989898,40.734456|-73.988932,40.736522|-73.981781,40.746402|-73.974347,40.756523|-73.982426,40.759925"
id1801295,2nd Avenue,East 43rd Street,1342.2,131.8,3,2nd Avenue|East 43rd Street|East 43rd Street,1031|311.3|0,85|46.8|0,depart|turn|arrive,none|right|arrive,"-73.9658,40.758609|-73.971713,40.750494|-73.97494,40.751856"
id1173499,Gramercy Park North,Greenwich Street,2393.8,332.5,8,Gramercy Park North|East 21st Street|7th Avenue|West 13th Street|Greenwich Avenue|Jane Street|Greenwich Street|Greenwich Street,75.5|979.3|628.4|212.2|75.5|374|48.9|0,10.4|126.9|88.4|33.1|13.4|54.8|5.5|0,depart|turn|turn|turn|turn|turn|turn|arrive,none|straight|left|right|sharp left|right|right|arrive,"-73.985641,40.738204|-73.986427,40.738529|-73.99658,40.742811|-74.000174,40.737861|-74.002401,40.738749|-74.002033,40.73813|-74.00647,40.738139|-74.006463,40.738579"
id2081230,East 72nd Street,Lexington Avenue,1253.1,113.3,3,East 72nd Street|Lexington Avenue|Lexington Avenue,355.2|897.9|0,32.5|80.8|0,depart|turn|arrive,left|left|arrive,"-73.958527,40.768871|-73.962211,40.770425|-73.967361,40.763357"
id2654948,West 63rd Street,West 54th Street,1615.2,138.2,5,West 63rd Street|West End Avenue|11th Avenue|West 54th Street|West 54th Street,15.4|317.6|409.3|872.9|0,6.2|26.7|42|63.3|0,depart|turn|new name|turn|arrive,right|right|straight|left|arrive,"-73.988795,40.774189|-73.988636,40.77412|-73.990459,40.771621|-73.992795,40.768394|-73.983744,40.764574"
id3891366,Lexington Avenue,Grand Army Plaza,1046.4,95.0,4,Lexington Avenue|East 60th Street|Grand Army Plaza|Grand Army Plaza,424|596.1|26.4|0,41.8|49.5|3.7|0,depart|turn|continue|arrive,none|right|straight|arrive,"-73.965279,40.76621|-73.967709,40.762872|-73.973625,40.764577|-73.97378,40.764371"
id1027602,Lexington Avenue,Park Avenue,463.1,44.6,4,Lexington Avenue|East 49th Street|Park Avenue|Park Avenue,26.6|147.7|288.8|0,5.9|13.8|24.9|0,depart|turn|turn|arrive,left|right|right|arrive,"-73.972667,40.756079|-73.97282,40.75587|-73.974347,40.756523|-73.972674,40.758789"
id2405908,West 28th Street,1st Avenue,1576.3,209.0,5,West 28th Street|Broadway|West 26th Street|1st Avenue|1st Avenue,158.2|167.4|1144|106.7|0,20.4|25.3|149.4|13.9|0,depart|turn|turn|turn|arrive,left|right|left|left|arrive,"-73.990371,40.745976|-73.988729,40.745286|-73.989011,40.743796|-73.977148,40.738796|-73.976537,40.739636"
id0449512,Broadway,East 36th Street,1426.6,151.7,5,Broadway|West 31st Street|6th Avenue|West 36th Street|East 36th Street,64.1|79.4|405.9|877.2|0,13.7|13|57.7|67.3|0,depart|turn|turn|turn|arrive,none|right|right|right|arrive,"-73.988226,40.748122|-73.988332,40.747551|-73.989157,40.747896|-73.986824,40.751088|-73.977736,40.747241"
id1238557,Lexington Avenue,East 43rd Street,1599.0,173.9,5,Lexington Avenue|East 42nd Street|3rd Avenue|East 43rd Street|East 43rd Street,1218.8|156.5|84.4|139.3|0,117|24.9|12|20|0,depart|turn|turn|turn|arrive,none|left|left|left|arrive,"-73.969044,40.761053|-73.976025,40.751456|-73.974408,40.750764|-73.973925,40.751429|-73.97537,40.752037"
id3225033,West End Avenue,East 72nd Street,3035.7,242.9,7,West End Avenue|West 65th Street|65th Street Transverse|East 65th Street|3rd Avenue|East 72nd Street|East 72nd Street,107.8|823.6|885.6|620.8|564|34|0,13.3|64|60.1|56|47.3|2.2|0,depart|turn|new name|new name|turn|turn|arrive,left|right|straight|straight|left|right|arrive,"-73.988342,40.774531|-73.987735,40.775384|-73.979193,40.771782|-73.970281,40.768025|-73.963843,40.765309|-73.960604,40.769747|-73.960252,40.769598"
id0580269,West 57th Street,East 57th Street,922.4,61.0,2,West 57th Street|East 57th Street,922.4|0,61|0,depart|arrive,right|arrive,"-73.979298,40.76521|-73.969726,40.761183"
id2327623,West 42nd Street,Vesey Street,6789.8,647.5,6,West 42nd Street|12th Avenue|11th Avenue|West Street|Vesey Street|Vesey Street,1187.7|1710.5|628.7|3229.4|33.6|0,108.6|174.6|62.3|297.9|4.1|0,depart|turn|new name|new name|turn|arrive,left|left|straight|straight|right|arrive,"-73.988989,40.756896|-74.001322,40.762069|-74.007832,40.74806|-74.008871,40.742463|-74.013934,40.713801|-74.014287,40.71394"
id3780364,East 102nd Street,East 82nd Street,2577.0,234.5,6,East 102nd Street|5th Avenue|East 96th Street|2nd Avenue|East 82nd Street|East 82nd Street,46.7|484.5|838.9|1138.5|68.4|0,14.2|45|69.2|96.3|9.8|0,depart|turn|turn|turn|turn|arrive,right|left|left|right|left|arrive,"-73.952499,40.791519|-73.952984,40.791722|-73.955769,40.78791|-73.947067,40.784239|-73.953629,40.77529|-73.95292,40.774991"
id0028245,Adams Street / Brooklyn Bridge Boulevard,Water Street,1441.5,149.7,7,Adams Street / Brooklyn Bridge Boulevard|Tillary Street|Jay Street|Sands Street|Adams Street|Water Street|Water Street,362.8|127.1|465.6|152.1|321.8|12|0,47.8|14.5|42.7|11.9|31.1|1.7|0,depart|turn|turn|turn|new name|turn|arrive,none|right|left|left|slight right|left|arrive,"-73.988759,40.692842|-73.988613,40.6961|-73.987108,40.696038|-73.986951,40.700206|-73.988714,40.700313|-73.988742,40.703164|-73.988884,40.70317"
